t_s,T_numeric_K,T_analytical_K
4344.258947368421,308.03257167934436,308.0325717109887
4355.751695906433,308.03332929185075,308.033329332973
4367.2444444444445,308.03407559817,308.03407564737796
4378.737192982457,308.0348107677298,308.03481082297026
4390.229941520468,308.0355349673259,308.0355350259978
4401.72269005848,308.03624836112067,308.0362484202271
4413.215438596491,308.0369511102397,308.03695116698043
4424.708187134503,308.0376433723792,308.03764342517246
4436.200935672515,308.03832530300525,308.03832535134586
4447.693684210526,308.03899705554045,308.03899709970705
4459.186432748538,308.03965878136404,308.03965882216085
4470.6791812865495,308.04031062981153,308.04031066834483
4482.171929824562,308.0409527481749,308.04095278566325
4493.664678362573,308.04158528170274,308.0415853193203
4505.157426900585,308.0422083735999,308.0422084123531
4516.650175438596,308.0428221650279,308.0428222056638
4528.1429239766085,308.0434267951046,308.0434268380517
4539.63567251462,308.0440224009042,308.04402244624436
4551.128421052632,308.0446091174577,308.0446091649288
4562.621169590643,308.04518707775225,308.0451871267817
4574.113918128655,308.0457564127315,308.0457564624996
4585.606666666667,308.0463172512958,308.04631730082843
